名称（基本）,名称,緯度,経度,標高 (m),所在地,津波発生時,耐震性,対応している災害,対応していない災害,欲しいもの,足りているもの,困っていること,その他連絡事項,福祉,状況,避難所の種類,状況・避難所の種類（グループ分け用）,開設日時,閉鎖日時,避難者数,避難者数のカウント日時,出典,不明点,更新日時,編集者
メディア交流館,（閉鎖）メディア交流館,32.9984675,130.4334999,,熊本県 荒尾市 大正町 2丁目3-2,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.arao.lg.jp/q/aview/55/3182.html,,2016-04-30 04:22:10 +0900,藤田 周
万田炭鉱館,（閉鎖）万田炭鉱館,33.0004317,130.4514154,,熊本県 荒尾市 原万田 213-31,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.arao.lg.jp/q/aview/55/3182.html,,2016-04-30 04:22:10 +0900,藤田 周
ふれあい福祉センター,（閉鎖）ふれあい福祉センター,32.9734434,130.4636872,,熊本県 荒尾市 川登 1777-12,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.arao.lg.jp/q/aview/55/3182.html,,2016-04-30 04:22:10 +0900,藤田 周
運動公園管理事務所,（閉鎖）運動公園管理事務所,32.9825168,130.4589788,,熊本県 荒尾市 荒尾 4051,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.arao.lg.jp/q/aview/55/3182.html,,2016-04-30 04:22:10 +0900,藤田 周
荒尾総合文化センター,（閉鎖）荒尾総合文化センター,32.9849125,130.4638066,,熊本県 荒尾市 荒尾 4186-19,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.arao.lg.jp/q/aview/55/3182.html,,2016-04-30 04:22:10 +0900,藤田 周
平井小学校,（閉鎖）平井小学校,32.9987468,130.4887798,,熊本県 荒尾市 上井手 1108,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.arao.lg.jp/q/aview/55/3182.html,,2016-04-30 04:22:10 +0900,藤田 周
みどり蒼生館,（閉鎖）みどり蒼生館,32.9909114,130.489077,,熊本県 荒尾市 平山 2119-3,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.arao.lg.jp/q/aview/55/3182.html,,2016-04-30 04:22:10 +0900,藤田 周
府本小学校,（閉鎖）府本小学校,32.9635808,130.4991623,,熊本県 荒尾市 樺 2313-2,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.arao.lg.jp/q/aview/55/3182.html,,2016-04-30 04:22:10 +0900,藤田 周
荒尾第四中学校,（閉鎖）荒尾第四中学校,32.9619335,130.4814886,,熊本県 荒尾市 野原 1528,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.arao.lg.jp/q/aview/55/3182.html,,2016-04-30 04:22:10 +0900,藤田 周
小岱工芸館,（閉鎖）小岱工芸館,32.9606754,130.4825663,,熊本県 荒尾市 野原 1523,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.arao.lg.jp/q/aview/55/3182.html,,2016-04-30 04:22:10 +0900,藤田 周
有明小学校,（閉鎖）有明小学校,32.9665572,130.4394833,,熊本県 荒尾市 一部 305,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.arao.lg.jp/q/aview/55/3182.html,,2016-04-30 04:22:10 +0900,藤田 周
中央公民館,（閉鎖）中央公民館,32.9732398,130.4362279,,熊本県 荒尾市 増永 633,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.arao.lg.jp/q/aview/55/3182.html,,2016-04-30 04:22:10 +0900,藤田 周
清里小学校,（閉鎖）清里小学校,32.9494842,130.4472497,,熊本県 荒尾市 牛水 1555,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.arao.lg.jp/q/aview/55/3182.html,,2016-04-30 04:22:10 +0900,藤田 周
桜山小学校,（閉鎖）桜山小学校,32.9678404,130.4572095,,熊本県 荒尾市 桜山町3丁目 25-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.arao.lg.jp/q/aview/55/3182.html,,2016-04-30 04:22:10 +0900,藤田 周
玉名市福祉センター,（開設中）【自主】玉名市福祉センター,32.935905,130.560978,,熊本県 玉名市 岩崎 88-4,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,自主,自主・開設中,,,,,http://www.city.tamana.lg.jp/q/aview/51/6451.html,,2016-04-30 04:21:00 +0900,藤田 周
岱明ふれあい健康センター,（閉鎖）岱明ふれあい健康センター,32.91675,130.512586,,熊本県 玉名市 岱明町中土 1022,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.tamana.lg.jp/q/aview/51/6451.html,,2016-04-30 04:21:00 +0900,藤田 周
横島町公民館,（閉鎖）横島町公民館,32.8776161,130.5555508,,熊本県 玉名市 横島町横島 3644,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.tamana.lg.jp/q/aview/51/6451.html,,2016-04-30 04:21:00 +0900,藤田 周
天水保健センター「ふれあい館」,（閉鎖）天水保健センター「ふれあい館」,32.865332,130.592191,,熊本県 玉名市 天水町小天 7237-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.tamana.lg.jp/q/aview/51/6451.html,,2016-04-30 04:21:00 +0900,藤田 周
玉名町小学校,（閉鎖）玉名町小学校,32.9324565,130.5553955,,熊本県 玉名市 岩崎 1120,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.tamana.lg.jp/q/aview/51/6451.html,,2016-04-30 04:21:00 +0900,藤田 周
九州看護福祉大学,（閉鎖）九州看護福祉大学,32.9462581,130.553534,,熊本県 玉名市 富尾 888,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.tamana.lg.jp/q/aview/51/6451.html,,2016-04-30 04:21:00 +0900,藤田 周
伊倉小学校,（閉鎖）伊倉小学校,32.9052503,130.5751066,,熊本県 玉名市 宮原 678,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.tamana.lg.jp/q/aview/51/6451.html,,2016-04-30 04:21:00 +0900,藤田 周
玉南中学校,（閉鎖）玉南中学校,32.9084196,130.5787395,,熊本県 玉名市 伊倉北方 2636,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.tamana.lg.jp/q/aview/51/6451.html,,2016-04-30 04:21:00 +0900,藤田 周
玉陵中学校,（閉鎖）玉陵中学校,32.9437306,130.5777914,,熊本県 玉名市 玉名 900,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.tamana.lg.jp/q/aview/51/6451.html,,2016-04-30 04:21:00 +0900,藤田 周
八嘉学習センター,（閉鎖）八嘉学習センター,32.918119,130.5887693,,熊本県 玉名市 伊倉北方,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.tamana.lg.jp/q/aview/51/6451.html,,2016-04-30 04:21:00 +0900,藤田 周
武道館,（閉鎖）武道館,32.9292511,130.5589066,,熊本県 玉名市 繁根木 94-11,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.tamana.lg.jp/q/aview/51/6451.html,,2016-04-30 04:21:00 +0900,藤田 周
高道小学校,（閉鎖）高道小学校,32.9074518,130.5125419,,熊本県 玉名市 岱明町高道 1230,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.tamana.lg.jp/q/aview/51/6451.html,,2016-04-30 04:21:00 +0900,藤田 周
睦合小学校,（閉鎖）睦合小学校,32.9300454,130.5092124,,熊本県 玉名市 岱明町古閑 302,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.tamana.lg.jp/q/aview/51/6451.html,,2016-04-30 04:21:00 +0900,藤田 周
ゆとりーむ,（閉鎖）ゆとりーむ,32.8769967,130.5562702,,熊本県 玉名市 横島町横島 3923,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.tamana.lg.jp/q/aview/51/6451.html,,2016-04-30 04:21:00 +0900,藤田 周
玉水小学校,（閉鎖）玉水小学校,32.8788001,130.5829983,,熊本県 玉名市 天水町部田見 1440-2,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.tamana.lg.jp/q/aview/51/6451.html,,2016-04-30 04:21:00 +0900,藤田 周
天水中学校,（閉鎖）天水中学校,32.8643211,130.590109,,熊本県 玉名市 天水町小天 7032,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.tamana.lg.jp/q/aview/51/6451.html,,2016-04-30 04:21:00 +0900,藤田 周
町福祉センター,（詳細不明）町福祉センター,32.918858,130.627907,,熊本県 玉名郡玉東町 木葉 764,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://www.town.gyokuto.kumamoto.jp/,,2016-04-30 4:18:50 +0900,藤田 周
町武道館,（詳細不明）町武道館,32.9132647,130.6283785,,熊本県 玉名郡玉東町 二俣 92-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://www.town.gyokuto.kumamoto.jp/,,2016-04-30 4:18:50 +0900,藤田 周
中央公民館,（詳細不明）中央公民館,32.9136806,130.6269267,,熊本県 玉名郡玉東町 白木 1-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://www.town.gyokuto.kumamoto.jp/,,2016-04-30 4:18:50 +0900,藤田 周
中央公民館,（詳細不明）中央公民館,32.9771057,130.6056849,,熊本県 玉名郡和水町 江田 3883-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://www.town.nagomi.lg.jp/,,2016-04-30 4:18:50 +0900,藤田 周
三加和公民館,（詳細不明）三加和公民館,33.0651502,130.6216041,,熊本県 玉名郡和水町 板楠 76,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://www.town.nagomi.lg.jp/,,2016-04-30 4:18:50 +0900,藤田 周
南関町役場,（閉鎖）南関町役場,33.0615987,130.541126,,熊本県 玉名郡南関町 関町 1316,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.town.nankan.lg.jp/
http://www.town.nankan.lg.jp/kinkyu/pub/default.asp?c_id=1&id=16&pg=1&wd=&SelY=0&SelM=0&SelD=0",,2016-04-30 4:17:50 +0900,藤田 周
中央公民館,（閉鎖）中央公民館,33.0618653,130.5418537,,熊本県 玉名郡南関町 大字関町 1324,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.town.nankan.lg.jp/
http://www.town.nankan.lg.jp/kinkyu/pub/default.asp?c_id=1&id=16&pg=1&wd=&SelY=0&SelM=0&SelD=0",,2016-04-30 4:17:50 +0900,藤田 周
南の関うから館,（閉鎖）南の関うから館,33.0576852,130.5399623,,熊本県 玉名郡南関町 関町 1230,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.town.nankan.lg.jp/
http://www.town.nankan.lg.jp/kinkyu/pub/default.asp?c_id=1&id=16&pg=1&wd=&SelY=0&SelM=0&SelD=0",,2016-04-30 4:17:50 +0900,藤田 周
ふれあい広場,（閉鎖）ふれあい広場,33.0265021,130.529886,,熊本県 玉名郡南関町 高久野 585,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.town.nankan.lg.jp/
http://www.town.nankan.lg.jp/kinkyu/pub/default.asp?c_id=1&id=16&pg=1&wd=&SelY=0&SelM=0&SelD=0",,2016-04-30 4:17:50 +0900,藤田 周
ふるさとセンター,（閉鎖）ふるさとセンター,33.0284575,130.5301248,,熊本県 玉名郡南関町 上長田 654,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.town.nankan.lg.jp/
http://www.town.nankan.lg.jp/kinkyu/pub/default.asp?c_id=1&id=16&pg=1&wd=&SelY=0&SelM=0&SelD=0",,2016-04-30 4:17:50 +0900,藤田 周
南関第三小学校,（閉鎖）南関第三小学校,33.0419906,130.5766936,,熊本県 玉名郡南関町 大字相谷 1800,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.town.nankan.lg.jp/
http://www.town.nankan.lg.jp/kinkyu/pub/default.asp?c_id=1&id=16&pg=1&wd=&SelY=0&SelM=0&SelD=0",,2016-04-30 4:17:50 +0900,藤田 周
交流センター,（閉鎖）交流センター,33.0467258,130.5631887,,熊本県 玉名郡南関町 小原 1408,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.town.nankan.lg.jp/
http://www.town.nankan.lg.jp/kinkyu/pub/default.asp?c_id=1&id=16&pg=1&wd=&SelY=0&SelM=0&SelD=0",,2016-04-30 4:17:50 +0900,藤田 周
南町民センター,（閉鎖）南町民センター,33.0138458,130.5659004,,熊本県 玉名郡南関町 下坂下 160-3,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.town.nankan.lg.jp/
http://www.town.nankan.lg.jp/kinkyu/pub/default.asp?c_id=1&id=16&pg=1&wd=&SelY=0&SelM=0&SelD=0",,2016-04-30 4:17:50 +0900,藤田 周
四ツ原集会所,（閉鎖）四ツ原集会所,33.0107901,130.5452828,,熊本県 玉名郡南関町 四ツ原 1116-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,"http://www.town.nankan.lg.jp/
http://www.town.nankan.lg.jp/kinkyu/pub/default.asp?c_id=1&id=16&pg=1&wd=&SelY=0&SelM=0&SelD=0",,2016-04-30 4:17:50 +0900,藤田 周
町民研修センター,（詳細不明）町民研修センター,32.9325777,130.4437336,,熊本県 玉名郡長洲町 長洲 1443,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://www.town.nagasu.lg.jp/,,2016-04-30 4:16:50 +0900,藤田 周
中央公民館,（詳細不明）中央公民館,32.9288729,130.4523491,,熊本県 玉名郡長洲町 大字長洲 2772-2,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://www.town.nagasu.lg.jp/,,2016-04-30 4:16:50 +0900,藤田 周
長洲こどもの海保育園,（詳細不明）長洲こどもの海保育園,32.9198457,130.4748708,,熊本県 玉名郡長洲町 大字腹赤 70,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://www.town.nagasu.lg.jp/,,2016-04-30 4:16:50 +0900,藤田 周
地域福祉センター,（詳細不明）地域福祉センター,32.9327923,130.4791226,,熊本県 玉名郡長洲町 宮野 999,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://www.town.nagasu.lg.jp/,,2016-04-30 4:16:50 +0900,藤田 周
長洲中学校,（詳細不明）長洲中学校,32.9406214,130.441168,,熊本県 玉名郡長洲町 長洲 805-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://www.town.nagasu.lg.jp/,,2016-04-30 4:16:50 +0900,藤田 周
六栄小学校,（詳細不明）六栄小学校,32.9332061,130.4768894,,熊本県 玉名郡長洲町 宮野 957-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://www.town.nagasu.lg.jp/,,2016-04-30 4:16:50 +0900,藤田 周
清里小学校,（詳細不明）清里小学校,32.9398382,130.4559827,,熊本県 玉名郡長洲町 高浜 1250,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,詳細不明,,詳細不明,,,,,http://www.town.nagasu.lg.jp/,,2016-04-30 4:16:50 +0900,藤田 周
山鹿健康福祉センター,（開設中）【自主】山鹿健康福祉センター,33.0094677,130.7002943,,熊本県 山鹿市 中 578,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,自主,自主・開設中,,,33,2016-04-24（最多時）,"http://www.city.yamaga.kumamoto.jp/www/contents/1460641861575/index.html
http://www.city.yamaga.kumamoto.jp/www/contents/1461567131854/files/saigaijyoukyou.pdf",,2016-04-30 4:15:20 +0900,藤田 周
山鹿市老人福祉センター,（開設中）【自主】山鹿市老人福祉センター,33.0135197,130.6888759,,熊本県 山鹿市 山鹿 1338,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,自主,自主・開設中,,,1,2016-04-24（最多時）,"http://www.city.yamaga.kumamoto.jp/www/contents/1460641861575/index.html
http://www.city.yamaga.kumamoto.jp/www/contents/1461567131854/files/saigaijyoukyou.pdf",,2016-04-30 4:15:20 +0900,藤田 周
鹿北市民センター,（開設中）【自主】鹿北市民センター,33.1084807,130.6936557,,熊本県 山鹿市 鹿北町四丁 1612,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,自主,自主・開設中,,,11,2016-04-24（最多時）,"http://www.city.yamaga.kumamoto.jp/www/contents/1460641861575/index.html
http://www.city.yamaga.kumamoto.jp/www/contents/1461567131854/files/saigaijyoukyou.pdf",,2016-04-30 4:15:20 +0900,藤田 周
菊鹿市民センター,（開設中）【自主】菊鹿市民センター,33.0281,130.768694,,熊本県 山鹿市 菊鹿町下内田 713,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,自主,自主・開設中,,,6,2016-04-24（最多時）,"http://www.city.yamaga.kumamoto.jp/www/contents/1460641861575/index.html
http://www.city.yamaga.kumamoto.jp/www/contents/1461567131854/files/saigaijyoukyou.pdf",,2016-04-30 4:15:20 +0900,藤田 周
鹿本市民センター,（開設中）【自主】鹿本市民センター,33.0011747,130.7394692,,熊本県 山鹿市 鹿本町来民 686-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,自主,自主・開設中,,,16,2016-04-24（最多時）,"http://www.city.yamaga.kumamoto.jp/www/contents/1460641861575/index.html
http://www.city.yamaga.kumamoto.jp/www/contents/1461567131854/files/saigaijyoukyou.pdf",,2016-04-30 4:15:20 +0900,藤田 周
鹿央多目的研修センター,（開設中）【自主】鹿央多目的研修センター,32.9747878,130.6838661,,熊本県 山鹿市 鹿央町合里 158-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,自主,自主・開設中,,,8,2016-04-24（最多時）,"http://www.city.yamaga.kumamoto.jp/www/contents/1460641861575/index.html
http://www.city.yamaga.kumamoto.jp/www/contents/1461567131854/files/saigaijyoukyou.pdf",,2016-04-30 4:15:20 +0900,藤田 周
市民交流センター,（閉鎖）市民交流センター,33.0175806,130.6913646,,熊本県 山鹿市 山鹿 987-3,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-04-17 18:00:00 +0900,,,"http://www.city.yamaga.kumamoto.jp/www/contents/1460641861575/index.html
http://www.city.yamaga.kumamoto.jp/www/contents/1461567131854/files/saigaijyoukyou.pdf",,2016-04-30 4:15:20 +0900,藤田 周
カルチャースポーツセンター,（閉鎖）カルチャースポーツセンター,33.0309543,130.688276,,熊本県 山鹿市 熊入町 416,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-04-17 18:00:00 +0900,,,"http://www.city.yamaga.kumamoto.jp/www/contents/1460641861575/index.html
http://www.city.yamaga.kumamoto.jp/www/contents/1461567131854/files/saigaijyoukyou.pdf",,2016-04-30 4:15:20 +0900,藤田 周
山鹿小学校,（閉鎖）山鹿小学校,33.0134338,130.6930561,,熊本県 山鹿市 山鹿 351,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-04-17 12:00:00 +0900,,,"http://www.city.yamaga.kumamoto.jp/www/contents/1460641861575/index.html
http://www.city.yamaga.kumamoto.jp/www/contents/1461567131854/files/saigaijyoukyou.pdf",,2016-04-30 4:15:20 +0900,藤田 周
鹿本体育館,（閉鎖）鹿本体育館,33.003755,130.7425967,,熊本県 山鹿市 鹿本町来民 722,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,2016-04-17 8:00:00 +0900,,,"http://www.city.yamaga.kumamoto.jp/www/contents/1460641861575/index.html
http://www.city.yamaga.kumamoto.jp/www/contents/1461567131854/files/saigaijyoukyou.pdf",,2016-04-30 4:15:20 +0900,藤田 周
一の宮小学校,（開設中）一の宮小学校,32.9500786,131.1176001,,熊本県 阿蘇市 一の宮町宮地 1680,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.aso.kumamoto.jp/kumamoto_eq/earthquake_evacuation/evacuation/,,2016-04-30 4:13:40 +0900,藤田 周
旧古城小学校,（開設中）旧古城小学校,32.970324,131.129287,,熊本県 阿蘇市 一の宮町中通 2177,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.aso.kumamoto.jp/kumamoto_eq/earthquake_evacuation/evacuation/,,2016-04-30 4:13:40 +0900,藤田 周
かんぽの宿 阿蘇,（開設中）かんぽの宿 阿蘇,32.926807,131.107950﻿,,熊本県 阿蘇市 一の宮町宮地 5936,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.aso.kumamoto.jp/kumamoto_eq/earthquake_evacuation/evacuation/,,2016-04-30 4:13:40 +0900,藤田 周
