名称,名称（基本）,所在地,緯度,経度,標高 (m),津波発生時,耐震性,対応している災害,対応していない災害,欲しいもの,足りているもの,困っていること,その他連絡事項,福祉,状況,避難所の種類,避難所の種類・状況,開設日時,閉鎖日時,避難者数,避難者数のカウント日時,出典,不明点,確認日時,編集者
（閉鎖）江南中学校,江南中学校,熊本県 熊本市中央区 本山町 75,32.7875932,130.6990479,8.281550407,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）黒髪小学校,黒髪小学校,熊本県 熊本市中央区 黒髪 2丁目2-1,32.8147858,130.7201011,16.99560356,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）桜山中学校,桜山中学校,熊本県 熊本市中央区 黒髪 5丁目13-1,32.8163885,130.7318895,23.44326591,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）竜南中学校,竜南中学校,熊本県 熊本市中央区 坪井 4丁目16-1,32.8178688,130.7150847,9.269184113,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）市立必由館高校,市立必由館高校,熊本県 熊本市中央区 坪井 4丁目15-1,32.8158605,130.71401,12.95315361,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）済々黌高校,済々黌高校,熊本県 熊本市中央区 黒髪 2丁目22-1,32.8177134,130.7230787,21.06388664,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）五福小学校,五福小学校,熊本県 熊本市中央区 細工町 2丁目25,32.795809,130.6956674,13.36130524,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）慶徳小学校,慶徳小学校,熊本県 熊本市中央区 山崎町 72,32.7970507,130.7016891,16.09508896,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）春竹小学校,春竹小学校,熊本県 熊本市中央区 琴平 1丁目9-43,32.7882322,130.7073805,10,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）熊本商業高校,熊本商業高校,熊本県 熊本市中央区 神水 1丁目1-2,32.786556,130.740217,14.5810833,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）熊本工業高校,熊本工業高校,熊本県 熊本市中央区 上京塚町 5-1,32.7924041,130.7474546,25.13089561,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）帯山小学校,帯山小学校,熊本県 熊本市中央区 帯山 4丁目11-11,32.8019304,130.7498693,32.97502899,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）出水小学校,出水小学校,熊本県 熊本市中央区 出水 1丁目1-75,32.7890187,130.7312026,10.99223804,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）出水中学校,出水中学校,熊本県 熊本市中央区 出水 5丁目3-1,32.7832776,130.7265569,8.652600288,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）湧心館高校,湧心館高校,熊本県 熊本市中央区 出水 4丁目1-2,32.7807167,130.7304012,7.587620258,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）水前寺競技場,水前寺競技場,熊本県 熊本市中央区 水前寺 5丁目23-2,32.7944004,130.7393193,19.91371346,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）世安公民館,世安公民館,熊本県 熊本市中央区 細工町 2丁目25,32.795809,130.6956674,13.36130524,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,出典には「世安町公民館」と記載,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）堂免公園,堂免公園,熊本県 熊本市中央区 大江 4丁目14-1,32.8020731,130.721851,16.99371147,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）熊本国府高等学校,熊本国府高等学校,熊本県 熊本市中央区 国府 2丁目 15-1,32.787513,130.728331,6.761408806,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）熊本大学（黒髪体育館）,熊本大学（黒髪体育館）,熊本県 熊本市中央区 黒髪 2丁目40,32.815535,130.725179,18.85612869,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）出水南中学校,出水南中学校,熊本県 熊本市中央区 出水 7丁目86-1,32.7750311,130.7278403,5.510248184,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）熊本大学（大江総合運動場渡鹿体育館）,熊本大学（大江総合運動場渡鹿体育館）,熊本県 熊本市中央区 渡鹿 4丁目1-1,32.807938,130.728866,19.96105194,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）渡鹿公園,渡鹿公園,熊本県 熊本市中央区 渡鹿 1丁目15,32.8063783,130.7326339,22.49554062,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖）熊本市国際交流会館,熊本市国際交流会館,熊本県 熊本市中央区 花畑町 4-18,32.8020087,130.7050433,20.01953506,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,閉鎖,,閉鎖,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
